0.000000000,"N"
0.046439909,"Ab"
1.625396825,"Bm6"
2.925714286,"Cm"
4.318911565,"C#"
7.476825397,"Cm"
8.126984127,"D7"
8.777142857,"Gaug"
10.077460317,"Cm"
10.959818594,"F7"
11.331337868,"G"
15.789569161,"D7/F#"
17.182766440,"Cm7"
19.458321995,"Fm"
20.108480726,"Ab"
20.572879819,"Dm"
20.851519274,"Cm"
23.127074830,"Fm7"
25.031111111,"Cm"
26.517188209,"G"
27.445986395,"B"
27.910385488,"Gmaj7"
28.421224490,"Cm"
29.442902494,"F7"
29.767981859,"Gmaj7"
31.950657596,"Eb6"
33.854693878,"Fm7"
35.990929705,"Cm7"
37.848526077,"Fm7"
39.659682540,"Cm"
41.099319728,"G"
42.910476190,"Cm"
44.210793651,"G7"
44.675192744,"D7"
45.557551020,"G7"
46.254149660,"Cm7"
48.576145125,"Fm7"
49.876462585,"Cm"
52.012698413,"Fm"
53.684535147,"Cm"
54.566893424,"F6"
55.867210884,"G"
57.028208617,"Cm"
58.607165533,"G"
61.022040816,"Cm7"
62.879637188,"Fm7"
63.947755102,"Abm7b5"
64.365714286,"Eb"
65.526712018,"Cmaj7"
67.012789116,"Cdim"
67.895147392,"Cm"
69.892063492,"Gmaj7"
71.935419501,"Cm"
73.653696145,"D7"
75.325532880,"G"
78.994285714,"C"
80.898321995,"Dm"
82.663038549,"Ebmaj7"
84.334875283,"Gmaj7"
86.285351474,"Abmaj7"
88.375147392,"D7"
90.093424036,"G7"
93.808616780,"Cm"
95.666213152,"Fm"
97.477369615,"Cm"
98.406167800,"D"
98.731247166,"C7"
99.242086168,"G"
103.700317460,"Gm6"
105.232834467,"Fm7"
106.440272109,"F6"
107.276190476,"Cmaj7"
108.251428571,"Cm"
108.762267574,"C#dim"
109.598185941,"Ab"
110.434104308,"G"
112.291700680,"Fm7"
113.870657596,"Cm"
114.520816327,"Cmaj7"
115.170975057,"C#"
118.328888889,"Emaj7"
118.932607710,"Gmaj7"
120.232925170,"Cm"
123.715918367,"Ab6"
124.226757370,"G7"
124.644716553,"Eb6"
128.127709751,"Ab6"
128.638548753,"G7"
129.149387755,"Cm"
132.632380952,"Ab6"
133.143219955,"G7"
133.746938776,"Ab6"
134.304217687,"G7"
134.675736961,"Eb6"
136.347573696,"G7"
141.548843537,"Bbm"
142.663401361,"Cm7"
144.799637188,"Fm"
146.517913832,"Cm"
148.329070295,"Fm7"
150.325986395,"Cm"
150.929705215,"Dm7"
153.391020408,"Cm7"
154.737777778,"F7"
155.109297052,"G"
157.384852608,"Cm7"
159.335328798,"Fm7"
161.146485261,"Cm"
163.189841270,"Dm7b5/C"
164.815238095,"Cm"
166.579954649,"Gmaj7"
168.298231293,"Cm"
170.295147392,"D7"
171.223945578,"Cmaj7"
173.871020408,"Caug"
175.032018141,"Fm6"
175.496417234,"Cm"
176.285895692,"Cmaj7"
178.886530612,"Cm"
180.093968254,"D7"
181.022766440,"Gmaj7"
182.369523810,"Cm"
183.762721088,"G"
185.991836735,"C"
191.239546485,"Fm"
193.097142857,"C"
194.258140590,"Bb7/D"
194.908299320,"G"
196.626575964,"Cm"
199.923809524,"F#m7b5"
200.341768707,"Fm7"
202.245804989,"Cmaj7"
202.756643991,"Cdim"
203.917641723,"C#dim"
204.707120181,"Ab"
205.635918367,"G"
207.539954649,"Fm7"
209.351111111,"Cm"
210.326349206,"C#"
214.134421769,"Cm7"
214.691700680,"Gm7"
215.759818594,"Cm"
219.289251701,"Ab/Eb"
219.800090703,"G7"
220.264489796,"Cm"
223.793922902,"Ab6"
224.258321995,"G7"
224.769160998,"Cm"
228.252154195,"Ab6"
228.762993197,"G7"
229.320272109,"Ab6"
229.831111111,"G7"
230.341950113,"Cm"
236.843537415,"N"
